1	1	59
2	1	15
3	1	15
4	1	109
4	2	49
4	3	120
4	4	59
5	1	45
5	2	53
6	1	113
7	1	59
8	1	59
9	1	49
10	1	59
11	1	59
12	1	49
12	2	120
12	3	59
13	1	59
14	1	59
15	1	138
16	1	58
16	2	26
16	3	45
16	4	53
17	1	138
17	2	113
17	3	53
18	1	53
19	1	59
20	1	45
21	1	59
22	1	49
23	1	130
24	1	59
25	1	113
25	2	59
26	1	59
27	1	113
27	2	59
28	1	95
28	2	109
28	3	58
28	4	15
28	5	49
28	6	26
28	7	113
28	8	91
28	9	45
28	10	120
28	11	59
28	12	130
28	13	53
29	1	120
30	1	59
31	1	120
32	1	109
33	1	49
33	2	120
33	3	59
34	1	120
35	1	120
36	1	120
37	1	120
38	1	120
39	1	120
40	1	120
41	1	120
42	1	120
43	1	120
44	1	120
45	1	59
46	1	120
47	1	120
48	1	120
49	1	59
50	1	59
51	1	59
52	1	58
53	1	59
54	1	59
55	1	59
56	1	109
57	1	59
58	1	109
58	2	120
59	1	53
60	1	120
61	1	130
62	1	130
62	2	53
63	1	130
64	1	109
65	1	49
66	1	45
66	2	53
67	1	59
68	1	138
69	1	58
69	2	26
70	1	138
70	2	113
71	1	49
72	1	120
73	1	53
74	1	49
75	1	138
75	2	53
76	1	130
77	1	45
78	1	130
79	1	138
80	1	138
80	2	59
81	1	138
82	1	58
83	1	59
84	1	58
85	1	138
86	1	138
87	1	138
88	1	138
89	1	49
90	1	49
91	1	120
91	2	130
92	1	109
92	2	120
93	1	138
94	1	130
95	1	138
96	1	138
97	1	130
98	1	138
98	2	4
99	1	59
99	2	4
100	1	65
101	1	138
102	1	53
103	1	49
104	1	138
105	1	59
106	1	138
107	1	49
108	1	138
109	1	138
109	2	49
109	3	120
109	4	130
109	5	4
110	1	49
110	2	130
111	1	135
112	1	58
112	2	26
113	1	138
114	1	138
115	1	130
116	1	4
117	1	138
117	2	49
117	3	120
117	4	130
117	5	4
118	1	49
119	1	49
120	1	109
121	1	138
121	2	49
121	3	120
121	4	130
121	5	4
122	1	138
122	2	49
122	3	120
122	4	130
122	5	143
122	6	4
123	1	4
124	1	49
124	2	120
124	3	59
124	4	130
125	1	49
125	2	120
125	3	59
125	4	130
125	5	4
126	1	130
127	1	130
128	1	138
129	1	138
130	1	26
131	1	26
132	1	138
133	1	138
134	1	130
135	1	138
136	1	120
137	1	138
138	1	65
139	1	117
140	1	130
141	1	130
142	1	117
143	1	138
144	1	82
145	1	65
146	1	65
147	1	98
148	1	45
149	1	138
150	1	58
151	1	117
152	1	130
153	1	117
154	1	58
155	1	138
156	1	65
157	1	65
158	1	65
159	1	65
160	1	65
161	1	4
162	1	117
163	1	49
163	2	120
163	3	59
163	4	130
164	1	117
165	1	117
166	1	117
167	1	65
168	1	49
169	1	49
170	1	138
171	1	58
172	1	49
173	1	138
173	2	49
173	3	59
173	4	130
173	5	4
174	1	138
174	2	49
174	3	120
174	4	130
174	5	4
175	1	138
176	1	147
177	1	45
178	1	138
178	2	49
178	3	120
178	4	130
178	5	4
179	1	138
179	2	147
180	1	138
180	2	49
180	3	59
180	4	130
180	5	4
181	1	45
182	1	58
183	1	138
184	1	49
185	1	138
186	1	120
187	1	113
188	1	138
189	1	138
190	1	65
191	1	138
192	1	138
193	1	65
194	1	138
195	1	120
196	1	138
196	2	49
196	3	120
196	4	130
196	5	4
197	1	58
197	2	134
197	3	53
198	1	138
199	1	45
200	1	98
201	1	138
202	1	138
203	1	138
204	1	98
205	1	65
206	1	138
207	1	49
207	2	120
207	3	59
207	4	130
207	5	4
208	1	53
209	1	138
210	1	138
211	1	49
212	1	49
213	1	49
214	1	138
215	1	138
215	2	147
216	1	120
217	1	138
218	1	120
219	1	138
220	1	4
221	1	120
222	1	130
223	1	138
224	1	49
225	1	109
226	1	49
227	1	49
228	1	4
229	1	58
229	2	26
229	3	134
229	4	53
230	1	138
231	1	109
231	2	26
231	3	53
232	1	138
232	2	53
233	1	53
234	1	49
235	1	65
236	1	109
236	2	26
236	3	53
237	1	59
238	1	58
239	1	65
240	1	65
241	1	130
242	1	59
243	1	49
244	1	59
245	1	109
245	2	26
245	3	53
246	1	49
247	1	49
248	1	49
249	1	120
250	1	120
251	1	58
251	2	41
252	1	138
253	1	130
254	1	130
255	1	130
256	1	98
256	2	53
257	1	117
258	1	120
258	2	130
259	1	59
260	1	138
261	1	49
262	1	59
263	1	59
264	1	58
264	2	26
264	3	53
265	1	59
266	1	138
267	1	49
268	1	58
269	1	138
270	1	49
270	2	4
271	1	4
272	1	138
272	2	49
272	3	120
272	4	130
272	5	4
273	1	4
274	1	138
275	1	138
275	2	49
275	3	59
275	4	130
275	5	4
276	1	130
277	1	4
278	1	120
279	1	138
280	1	138
280	2	49
280	3	120
280	4	130
280	5	4
281	1	109
281	2	65
281	3	26
281	4	53
282	1	138
283	1	58
284	1	138
285	1	65
286	1	65
287	1	65
288	1	26
289	1	45
290	1	109
290	2	138
291	1	138
291	2	49
291	3	120
291	4	130
291	5	4
292	1	138
293	1	59
294	1	59
295	1	120
296	1	113
296	2	45
296	3	53
297	1	138
298	1	45
299	1	65
300	1	138
301	1	58
302	1	4
303	1	49
304	1	130
305	1	120
306	1	109
307	1	130
308	1	138
309	1	65
309	2	138
310	1	49
310	2	4
311	1	59
312	1	59
313	1	49
313	2	120
313	3	59
313	4	130
313	5	4
314	1	65
314	2	138
315	1	130
316	1	49
317	1	4
318	1	4
319	1	49
319	2	4
320	1	138
320	2	120
320	3	130
321	1	120
322	1	138
322	2	67
322	3	49
322	4	120
322	5	130
322	6	4
323	1	49
323	2	4
324	1	4
325	1	53
326	1	120
327	1	120
328	1	49
329	1	138
330	1	49
330	2	4
331	1	138
331	2	49
331	3	120
331	4	130
331	5	4
332	1	4
333	1	4
334	1	58
335	1	49
336	1	53
337	1	36
338	1	120
339	1	59
340	1	58
341	1	120
342	1	26
342	2	120
342	3	53
343	1	138
343	2	130
344	1	49
344	2	4
345	1	120
346	1	49
346	2	59
346	3	130
346	4	4
347	1	59
348	1	138
349	1	138
350	1	120
351	1	130
352	1	59
353	1	120
354	1	138
355	1	26
355	2	120
355	3	53
356	1	53
357	1	59
358	1	61
358	2	53
359	1	53
360	1	4
361	1	120
361	2	53
362	1	53
363	1	120
363	2	130
364	1	138
364	2	53
365	1	49
365	2	59
365	3	130
365	4	4
366	1	120
367	1	4
368	1	130
369	1	120
370	1	49
370	2	59
370	3	130
370	4	4
371	1	120
372	1	120
372	2	130
373	1	49
374	1	138
374	2	49
374	3	59
374	4	130
374	5	4
375	1	49
375	2	4
376	1	138
376	2	49
376	3	59
376	4	130
376	5	4
377	1	130
378	1	49
378	2	4
379	1	120
380	1	58
381	1	45
382	1	138
383	1	130
384	1	130
385	1	113
386	1	34
387	1	65
387	2	138
388	1	138
388	2	49
388	3	120
389	1	138
390	1	130
391	1	138
392	1	138
392	2	49
392	3	120
392	4	130
392	5	4
393	1	49
394	1	4
395	1	130
396	1	95
396	2	109
396	3	138
396	4	58
396	5	49
396	6	26
396	7	120
396	8	130
396	9	53
396	10	4
397	1	138
398	1	138
399	1	95
399	2	109
399	3	58
399	4	49
399	5	26
399	6	120
399	7	59
399	8	130
399	9	53
399	10	4
400	1	138
401	1	49
402	1	138
403	1	138
404	1	49
405	1	49
406	1	138
406	2	53
407	1	138
408	1	138
